Timestamp,Human readable date,e00fce6872359b9131374b7c_soiltemp,context_e00fce6872359b9131374b7c_soiltemp
1564466415101,2019-07-30 00:00:15,23.2,{}
1564468214471,2019-07-30 00:30:14,22.9,{}
1564470015795,2019-07-30 01:00:15,22.6,{}
1564471813129,2019-07-30 01:30:13,22.4,{}
1564473612800,2019-07-30 02:00:12,22.1,{}
1564475416301,2019-07-30 02:30:16,21.8,{}
1564479014905,2019-07-30 03:30:14,21.4,{}
1564480815422,2019-07-30 04:00:15,21.2,{}
1564482612947,2019-07-30 04:30:12,21.0,{}
1564484414718,2019-07-30 05:00:14,20.8,{}
1564486214906,2019-07-30 05:30:14,20.6,{}
1564488016135,2019-07-30 06:00:16,20.4,{}
1564489814781,2019-07-30 06:30:14,20.3,{}
1564491616050,2019-07-30 07:00:16,20.2,{}
1564497015236,2019-07-30 08:30:15,21.0,{}
1564498815933,2019-07-30 09:00:15,21.4,{}
1564500615023,2019-07-30 09:30:15,22.0,{}
1564502413819,2019-07-30 10:00:13,23.1,{}
1564506016577,2019-07-30 11:00:16,25.5,{}
1564507816794,2019-07-30 11:30:16,25.5,{}
1564509618553,2019-07-30 12:00:18,25.6,{}
1564511418904,2019-07-30 12:30:18,27.0,{}
1564513217667,2019-07-30 13:00:17,27.8,{}
1564515020855,2019-07-30 13:30:20,28.5,{}
1564516820749,2019-07-30 14:00:20,29.3,{}
1564518618547,2019-07-30 14:30:18,30.0,{}
1564520416192,2019-07-30 15:00:16,29.9,{}
1564524034189,2019-07-30 16:00:34,29.7,{}
1564525814563,2019-07-30 16:30:14,29.7,{}
1564527614222,2019-07-30 17:00:14,29.2,{}
1564529412426,2019-07-30 17:30:12,28.8,{}
1564531216146,2019-07-30 18:00:16,28.2,{}
1564533015542,2019-07-30 18:30:15,27.5,{}
1564534815304,2019-07-30 19:00:15,27.1,{}
1564536613944,2019-07-30 19:30:13,26.5,{}
1564538415603,2019-07-30 20:00:15,25.9,{}
1564540212247,2019-07-30 20:30:12,25.3,{}
1564542014746,2019-07-30 21:00:14,24.7,{}
1564543815288,2019-07-30 21:30:15,24.3,{}
1564545613769,2019-07-30 22:00:13,23.9,{}
1564547415711,2019-07-30 22:30:15,23.6,{}
1564549214187,2019-07-30 23:00:14,23.4,{}
1564551014456,2019-07-30 23:30:14,23.0,{}
1564552814692,2019-07-31 00:00:14,22.7,{}
1564554613564,2019-07-31 00:30:13,22.5,{}
1564556415527,2019-07-31 01:00:15,22.2,{}
1564558215111,2019-07-31 01:30:15,21.9,{}
1564560015822,2019-07-31 02:00:15,21.6,{}
1564561814473,2019-07-31 02:30:14,21.4,{}
1564563613504,2019-07-31 03:00:13,21.2,{}
1564565416316,2019-07-31 03:30:16,21.0,{}
1564567215909,2019-07-31 04:00:15,20.8,{}
1564569014570,2019-07-31 04:30:14,20.6,{}
1564570814482,2019-07-31 05:00:14,20.4,{}
1564572625968,2019-07-31 05:30:25,20.3,{}
1564574414815,2019-07-31 06:00:14,20.2,{}
1564576213231,2019-07-31 06:30:13,20.0,{}
1564578017558,2019-07-31 07:00:17,20.1,{}
1564579814134,2019-07-31 07:30:14,20.2,{}
1564581616577,2019-07-31 08:00:16,20.4,{}
1564583413174,2019-07-31 08:30:13,20.5,{}
1564585214074,2019-07-31 09:00:14,20.5,{}
1564587015725,2019-07-31 09:30:15,20.9,{}
1564588812617,2019-07-31 10:00:12,22.5,{}
1564590614871,2019-07-31 10:30:14,24.0,{}
1564592412754,2019-07-31 11:00:12,25.2,{}
1564594215454,2019-07-31 11:30:15,26.2,{}
1564596012639,2019-07-31 12:00:12,27.2,{}
1564597815148,2019-07-31 12:30:15,28.2,{}
1564599615625,2019-07-31 13:00:15,29.0,{}
1564601414726,2019-07-31 13:30:14,29.9,{}
1564603214487,2019-07-31 14:00:14,29.9,{}
1564605013634,2019-07-31 14:30:13,30.0,{}
1564606814311,2019-07-31 15:00:14,30.2,{}
1564608613257,2019-07-31 15:30:13,29.8,{}
1564610414248,2019-07-31 16:00:14,29.8,{}
1564612215543,2019-07-31 16:30:15,29.4,{}
1564614013505,2019-07-31 17:00:13,29.1,{}
1564615814957,2019-07-31 17:30:14,28.4,{}
1564617614450,2019-07-31 18:00:14,27.8,{}
1564619414264,2019-07-31 18:30:14,27.2,{}
1564621215615,2019-07-31 19:00:15,26.8,{}
1564623013874,2019-07-31 19:30:13,26.4,{}
1564624814514,2019-07-31 20:00:14,26.0,{}
1564626614435,2019-07-31 20:30:14,25.6,{}
1564628415343,2019-07-31 21:00:15,25.2,{}
1564630214838,2019-07-31 21:30:14,24.9,{}
1564632015334,2019-07-31 22:00:15,24.7,{}
1564633815706,2019-07-31 22:30:15,24.4,{}
1564635613237,2019-07-31 23:00:13,24.1,{}
1564637416085,2019-07-31 23:30:16,23.8,{}
1564639213166,2019-08-01 00:00:13,23.5,{}
1564641014014,2019-08-01 00:30:14,23.3,{}
1564642815617,2019-08-01 01:00:15,23.2,{}
1564644613057,2019-08-01 01:30:13,23.0,{}
1564646415419,2019-08-01 02:00:15,22.9,{}
1564648214971,2019-08-01 02:30:14,22.7,{}
1564650015234,2019-08-01 03:00:15,22.5,{}
1564651814434,2019-08-01 03:30:14,22.3,{}
1564653614600,2019-08-01 04:00:14,22.0,{}
1564655414659,2019-08-01 04:30:14,21.7,{}
1564657213445,2019-08-01 05:00:13,21.5,{}
1564659014781,2019-08-01 05:30:14,21.3,{}
1564660814725,2019-08-01 06:00:14,21.2,{}
1564662614678,2019-08-01 06:30:14,21.2,{}
1564664414803,2019-08-01 07:00:14,21.2,{}
1564666215292,2019-08-01 07:30:15,21.3,{}
1564668015515,2019-08-01 08:00:15,21.4,{}
1564669814116,2019-08-01 08:30:14,21.5,{}
1564671615781,2019-08-01 09:00:15,21.9,{}
1564673415416,2019-08-01 09:30:15,22.6,{}
1564675212806,2019-08-01 10:00:12,24.0,{}
1564677016044,2019-08-01 10:30:16,24.7,{}
1564678815516,2019-08-01 11:00:15,25.7,{}
1564680615457,2019-08-01 11:30:15,26.2,{}
1564682416269,2019-08-01 12:00:16,27.4,{}
1564684214682,2019-08-01 12:30:14,27.5,{}
1564686013139,2019-08-01 13:00:13,27.1,{}
1564687814775,2019-08-01 13:30:14,27.1,{}
1564689615092,2019-08-01 14:00:15,26.7,{}
1564691413815,2019-08-01 14:30:13,26.1,{}
1564693217097,2019-08-01 15:00:17,26.1,{}
1564695013606,2019-08-01 15:30:13,26.6,{}
1564696814799,2019-08-01 16:00:14,26.7,{}
1564698614119,2019-08-01 16:30:14,26.5,{}
1564700415184,2019-08-01 17:00:15,26.4,{}
1564702215007,2019-08-01 17:30:15,26.3,{}
1564704014748,2019-08-01 18:00:14,26.0,{}
1564705814209,2019-08-01 18:30:14,25.9,{}
1564707614539,2019-08-01 19:00:14,25.7,{}
1564709413405,2019-08-01 19:30:13,25.5,{}
1564711215144,2019-08-01 20:00:15,25.2,{}
1564713013391,2019-08-01 20:30:13,24.8,{}
1564714815499,2019-08-01 21:00:15,24.2,{}
1564716613818,2019-08-01 21:30:13,23.8,{}
1564718416145,2019-08-01 22:00:16,23.6,{}
1564720213603,2019-08-01 22:30:13,23.4,{}
1564722013209,2019-08-01 23:00:13,23.3,{}
1564723815632,2019-08-01 23:30:15,23.1,{}
1564725613835,2019-08-02 00:00:13,23.0,{}
1564727414983,2019-08-02 00:30:14,22.7,{}
1564729214195,2019-08-02 01:00:14,22.5,{}
1564731007947,2019-08-02 01:30:07,22.3,{}
1564732813487,2019-08-02 02:00:13,22.0,{}
1564734613739,2019-08-02 02:30:13,21.8,{}
1564736414426,2019-08-02 03:00:14,21.6,{}
1564738214475,2019-08-02 03:30:14,21.4,{}
1564740016570,2019-08-02 04:00:16,21.2,{}
1564741815113,2019-08-02 04:30:15,21.0,{}
1564743614921,2019-08-02 05:00:14,20.8,{}
1564745414679,2019-08-02 05:30:14,20.7,{}
1564747213135,2019-08-02 06:00:13,20.5,{}
1564749015862,2019-08-02 06:30:15,20.4,{}
1564750814143,2019-08-02 07:00:14,20.4,{}
1564752615390,2019-08-02 07:30:15,20.4,{}
1564754414313,2019-08-02 08:00:14,20.6,{}
1564756213352,2019-08-02 08:30:13,20.7,{}
1564758014198,2019-08-02 09:00:14,20.8,{}
1564759812940,2019-08-02 09:30:12,21.4,{}
1564763416161,2019-08-02 10:30:16,24.6,{}
1564765213422,2019-08-02 11:00:13,26.1,{}
1564767012733,2019-08-02 11:30:12,27.2,{}
1564768815511,2019-08-02 12:00:15,28.4,{}
1564770616896,2019-08-02 12:30:16,29.4,{}
1564772412673,2019-08-02 13:00:12,30.3,{}
1564774216584,2019-08-02 13:30:16,30.9,{}
1564776012875,2019-08-02 14:00:12,31.0,{}
1564777815621,2019-08-02 14:30:15,31.4,{}
1564779616896,2019-08-02 15:00:16,31.4,{}
1564781413950,2019-08-02 15:30:13,30.2,{}
