Timestamp,Human readable date,e00fce6872359b9131374b7c_sw-10-sensor-2-calibrated,context_e00fce6872359b9131374b7c_sw-10-sensor-2-calibrated,e00fce6872359b9131374b7c_sw-10-sm5-calibrated,context_e00fce6872359b9131374b7c_sw-10-sm5-calibrated
1564466415101,2019-07-30 00:00:15,22.880000000000003,{},22.269000000000002,{}
1564468214471,2019-07-30 00:30:14,22.817,{},22.181,{}
1564470015795,2019-07-30 01:00:15,22.811,{},22.136,{}
1564471813129,2019-07-30 01:30:13,22.789,{},22.081999999999997,{}
1564473612800,2019-07-30 02:00:12,23.768000000000004,{},22.691999999999997,{}
1564475416301,2019-07-30 02:30:16,23.861,{},22.987,{}
1564479014905,2019-07-30 03:30:14,23.791999999999998,{},22.993000000000006,{}
1564480815422,2019-07-30 04:00:15,23.796,{},22.978,{}
1564482612947,2019-07-30 04:30:12,23.807,{},22.901999999999997,{}
1564484414718,2019-07-30 05:00:14,23.764,{},22.89,{}
1564486214906,2019-07-30 05:30:14,23.744,{},22.86,{}
1564488016135,2019-07-30 06:00:16,23.656999999999996,{},22.86,{}
1564489814781,2019-07-30 06:30:14,23.692,{},22.820999999999998,{}
1564491616050,2019-07-30 07:00:16,23.665,{},22.795,{}
1564497015236,2019-07-30 08:30:15,23.756000000000004,{},22.886,{}
1564498815933,2019-07-30 09:00:15,23.761999999999997,{},22.918000000000003,{}
1564500615023,2019-07-30 09:30:15,23.879,{},22.980999999999998,{}
1564502413819,2019-07-30 10:00:13,23.97,{},23.025,{}
1564506016577,2019-07-30 11:00:16,24.014,{},23.186,{}
1564507816794,2019-07-30 11:30:16,23.919000000000004,{},23.138,{}
1564509618553,2019-07-30 12:00:18,23.964,{},23.138,{}
1564511418904,2019-07-30 12:30:18,23.97,{},23.232,{}
1564513217667,2019-07-30 13:00:17,23.935000000000002,{},23.194,{}
1564515020855,2019-07-30 13:30:20,23.966,{},23.156000000000002,{}
1564516820749,2019-07-30 14:00:20,23.891,{},23.148000000000003,{}
1564518618547,2019-07-30 14:30:18,23.871000000000002,{},23.067,{}
1564520416192,2019-07-30 15:00:16,23.718000000000004,{},22.919999999999998,{}
1564524034189,2019-07-30 16:00:34,23.72,{},22.827,{}
1564525814563,2019-07-30 16:30:14,23.669999999999998,{},22.723000000000003,{}
1564527614222,2019-07-30 17:00:14,23.498000000000005,{},22.551,{}
1564529412426,2019-07-30 17:30:12,23.379,{},22.463,{}
1564531216146,2019-07-30 18:00:16,23.269000000000002,{},22.298000000000005,{}
1564533015542,2019-07-30 18:30:15,23.118000000000002,{},22.259,{}
1564534815304,2019-07-30 19:00:15,23.064999999999998,{},22.177,{}
1564536613944,2019-07-30 19:30:13,23.001,{},22.034000000000002,{}
1564538415603,2019-07-30 20:00:15,22.854,{},21.965,{}
1564540212247,2019-07-30 20:30:12,22.790999999999997,{},21.82,{}
1564542014746,2019-07-30 21:00:14,22.664000000000005,{},21.737,{}
1564543815288,2019-07-30 21:30:15,22.555,{},21.661,{}
1564545613769,2019-07-30 22:00:13,22.543000000000003,{},21.592,{}
1564547415711,2019-07-30 22:30:15,22.506999999999998,{},21.572,{}
1564549214187,2019-07-30 23:00:14,22.392,{},21.522,{}
1564551014456,2019-07-30 23:30:14,22.39,{},21.421,{}
1564552814692,2019-07-31 00:00:14,22.3,{},21.367,{}
1564554613564,2019-07-31 00:30:13,22.269000000000002,{},21.365000000000002,{}
1564556415527,2019-07-31 01:00:15,22.159000000000002,{},21.281999999999996,{}
1564558215111,2019-07-31 01:30:15,22.205,{},21.218000000000004,{}
1564560015822,2019-07-31 02:00:15,22.09,{},21.242,{}
1564561814473,2019-07-31 02:30:14,22.076,{},21.101,{}
1564563613504,2019-07-31 03:00:13,22.044000000000004,{},20.996000000000002,{}
1564565416316,2019-07-31 03:30:16,22.013,{},21.081,{}
1564567215909,2019-07-31 04:00:15,21.959,{},20.978,{}
1564569014570,2019-07-31 04:30:14,21.911,{},20.918000000000003,{}
1564570814482,2019-07-31 05:00:14,21.947,{},20.918000000000003,{}
1564572625968,2019-07-31 05:30:25,21.885,{},20.887,{}
1564574414815,2019-07-31 06:00:14,21.87,{},20.897,{}
1564576213231,2019-07-31 06:30:13,21.798000000000002,{},20.825000000000003,{}
1564578017558,2019-07-31 07:00:17,21.811999999999998,{},20.831,{}
1564579814134,2019-07-31 07:30:14,21.854000000000003,{},20.853,{}
1564581616577,2019-07-31 08:00:16,21.828000000000003,{},20.821,{}
1564583413174,2019-07-31 08:30:13,21.826,{},20.811,{}
1564585214074,2019-07-31 09:00:14,21.846,{},20.783,{}
1564587015725,2019-07-31 09:30:15,21.836,{},20.815,{}
1564588812617,2019-07-31 10:00:12,22.179000000000002,{},20.845,{}
1564590614871,2019-07-31 10:30:14,22.273000000000003,{},21.109,{}
1564592412754,2019-07-31 11:00:12,22.443,{},21.27,{}
1564594215454,2019-07-31 11:30:15,22.436999999999998,{},21.261999999999997,{}
1564596012639,2019-07-31 12:00:12,22.531000000000002,{},20.974,{}
1564597815148,2019-07-31 12:30:15,22.625999999999998,{},21.149,{}
1564599615625,2019-07-31 13:00:15,22.658000000000005,{},21.113,{}
1564601414726,2019-07-31 13:30:14,22.614000000000004,{},21.095,{}
1564603214487,2019-07-31 14:00:14,22.578000000000003,{},21.05,{}
1564605013634,2019-07-31 14:30:13,22.549000000000003,{},21.002,{}
1564606814311,2019-07-31 15:00:14,22.406000000000002,{},20.823000000000004,{}
1564608613257,2019-07-31 15:30:13,22.289,{},20.772,{}
1564610414248,2019-07-31 16:00:14,22.183000000000003,{},20.623,{}
1564612215543,2019-07-31 16:30:15,22.112,{},20.502,{}
1564614013505,2019-07-31 17:00:13,22.006999999999998,{},20.408,{}
1564615814957,2019-07-31 17:30:14,21.776,{},20.267,{}
1564617614450,2019-07-31 18:00:14,21.647,{},20.142,{}
1564619414264,2019-07-31 18:30:14,21.568000000000005,{},19.983000000000004,{}
1564621215615,2019-07-31 19:00:15,21.419,{},19.86,{}
1564623013874,2019-07-31 19:30:13,21.328000000000003,{},19.781,{}
1564624814514,2019-07-31 20:00:14,21.177,{},19.697,{}
1564626614435,2019-07-31 20:30:14,21.141,{},19.525000000000002,{}
1564628415343,2019-07-31 21:00:15,20.994,{},19.398,{}
1564630214838,2019-07-31 21:30:14,20.97,{},19.371999999999996,{}
1564632015334,2019-07-31 22:00:15,20.881,{},19.38,{}
1564633815706,2019-07-31 22:30:15,20.851,{},19.288000000000004,{}
1564635613237,2019-07-31 23:00:13,20.738000000000003,{},19.229000000000003,{}
1564637416085,2019-07-31 23:30:16,20.607,{},19.134999999999998,{}
1564639213166,2019-08-01 00:00:13,20.571,{},19.060000000000002,{}
1564641014014,2019-08-01 00:30:14,20.496,{},19.056,{}
1564642815617,2019-08-01 01:00:15,20.535,{},19.006,{}
1564644613057,2019-08-01 01:30:13,20.456,{},18.950999999999997,{}
1564646415419,2019-08-01 02:00:15,20.396,{},18.955,{}
1564648214971,2019-08-01 02:30:14,20.392,{},18.836,{}
1564650015234,2019-08-01 03:00:15,20.321,{},18.846,{}
1564651814434,2019-08-01 03:30:14,20.237,{},18.791999999999998,{}
1564653614600,2019-08-01 04:00:14,20.176,{},18.718,{}
1564655414659,2019-08-01 04:30:14,20.162,{},18.685000000000002,{}
1564657213445,2019-08-01 05:00:13,20.079,{},18.633000000000003,{}
1564659014781,2019-08-01 05:30:14,19.975,{},18.55,{}
1564660814725,2019-08-01 06:00:14,19.987,{},18.566,{}
1564662614678,2019-08-01 06:30:14,19.983000000000004,{},18.518,{}
1564664414803,2019-08-01 07:00:14,19.957,{},18.472,{}
1564666215292,2019-08-01 07:30:15,20.005,{},18.468,{}
1564668015515,2019-08-01 08:00:15,19.983000000000004,{},18.45,{}
1564669814116,2019-08-01 08:30:14,20.015,{},18.548000000000002,{}
1564671615781,2019-08-01 09:00:15,20.005,{},18.528000000000002,{}
1564673415416,2019-08-01 09:30:15,20.134,{},18.576,{}
1564675212806,2019-08-01 10:00:12,20.293000000000003,{},18.639000000000003,{}
1564677016044,2019-08-01 10:30:16,20.388,{},18.761999999999997,{}
1564678815516,2019-08-01 11:00:15,20.46,{},18.84,{}
1564680615457,2019-08-01 11:30:15,20.355,{},17.990000000000002,{}
1564682416269,2019-08-01 12:00:16,20.601,{},18.047,{}
1564684214682,2019-08-01 12:30:14,20.376,{},17.988,{}
1564686013139,2019-08-01 13:00:13,20.263,{},17.852999999999998,{}
1564687814775,2019-08-01 13:30:14,20.285,{},17.797,{}
1564689615092,2019-08-01 14:00:15,20.057,{},17.581,{}
1564691413815,2019-08-01 14:30:13,19.979000000000003,{},17.444000000000003,{}
1564693217097,2019-08-01 15:00:17,19.993000000000002,{},17.540999999999997,{}
1564695013606,2019-08-01 15:30:13,20.035,{},17.585,{}
1564696814799,2019-08-01 16:00:14,19.997,{},17.499000000000002,{}
1564698614119,2019-08-01 16:30:14,19.914,{},17.400000000000002,{}
1564700415184,2019-08-01 17:00:15,19.924000000000003,{},17.396,{}
1564702215007,2019-08-01 17:30:15,19.858000000000004,{},17.321,{}
1564704014748,2019-08-01 18:00:14,19.719,{},17.271,{}
1564705814209,2019-08-01 18:30:14,19.709000000000003,{},17.152,{}
1564707614539,2019-08-01 19:00:14,19.616,{},17.057,{}
1564709413405,2019-08-01 19:30:13,19.537,{},16.959000000000003,{}
1564711215144,2019-08-01 20:00:15,19.479000000000003,{},16.975,{}
1564713013391,2019-08-01 20:30:13,19.306,{},16.854000000000003,{}
1564714815499,2019-08-01 21:00:15,19.213,{},16.709000000000003,{}
1564716613818,2019-08-01 21:30:13,19.195,{},16.665,{}
1564718416145,2019-08-01 22:00:16,19.122,{},16.618,{}
1564720213603,2019-08-01 22:30:13,19.061999999999998,{},16.505,{}
1564722013209,2019-08-01 23:00:13,19.006,{},16.536,{}
1564723815632,2019-08-01 23:30:15,18.979000000000003,{},16.463,{}
1564725613835,2019-08-02 00:00:13,18.973000000000003,{},16.534000000000002,{}
1564727414983,2019-08-02 00:30:14,18.852,{},16.415000000000003,{}
1564729214195,2019-08-02 01:00:14,18.83,{},16.308,{}
1564731007947,2019-08-02 01:30:07,18.76,{},16.252,{}
1564732813487,2019-08-02 02:00:13,18.693,{},16.230999999999998,{}
1564734613739,2019-08-02 02:30:13,18.685000000000002,{},16.173000000000002,{}
1564736414426,2019-08-02 03:00:14,18.593,{},16.133,{}
1564738214475,2019-08-02 03:30:14,18.554000000000002,{},16.096,{}
1564740016570,2019-08-02 04:00:16,18.514000000000003,{},16.113,{}
1564741815113,2019-08-02 04:30:15,18.498000000000005,{},16.038,{}
1564743614921,2019-08-02 05:00:14,18.417,{},15.990000000000002,{}
1564745414679,2019-08-02 05:30:14,18.397,{},15.990000000000002,{}
1564747213135,2019-08-02 06:00:13,18.288,{},15.937000000000001,{}
1564749015862,2019-08-02 06:30:15,18.317,{},15.940999999999999,{}
1564750814143,2019-08-02 07:00:14,18.28,{},15.845,{}
1564752615390,2019-08-02 07:30:15,18.296,{},15.921,{}
1564754414313,2019-08-02 08:00:14,18.240000000000002,{},15.891,{}
1564756213352,2019-08-02 08:30:13,18.285999999999998,{},15.692,{}
1564758014198,2019-08-02 09:00:14,18.357,{},15.679000000000002,{}
1564759812940,2019-08-02 09:30:12,18.423000000000002,{},15.767999999999999,{}
1564763416161,2019-08-02 10:30:16,18.935000000000002,{},16.113,{}
1564765213422,2019-08-02 11:00:13,19.12,{},16.316,{}
1564767012733,2019-08-02 11:30:12,19.255,{},16.743,{}
1564768815511,2019-08-02 12:00:15,19.405,{},16.741,{}
1564770616896,2019-08-02 12:30:16,19.483000000000004,{},16.796,{}
1564772412673,2019-08-02 13:00:12,19.614,{},17.18,{}
1564774216584,2019-08-02 13:30:16,19.493000000000002,{},16.989,{}
1564776012875,2019-08-02 14:00:12,19.453000000000003,{},16.87,{}
1564777815621,2019-08-02 14:30:15,19.435,{},16.852,{}
1564779616896,2019-08-02 15:00:16,19.328000000000003,{},16.723,{}
1564781413950,2019-08-02 15:30:13,18.987,{},16.415000000000003,{}
1564783214710,2019-08-02 16:00:14,18.859,{},16.298,{}
1564785013794,2019-08-02 16:30:13,18.768,{},16.125,{}
1564786814433,2019-08-02 17:00:14,18.722,{},15.817999999999998,{}
1564788612815,2019-08-02 17:30:12,18.472,{},15.732000000000001,{}
1564790415072,2019-08-02 18:00:15,18.292,{},15.591,{}
1564792216485,2019-08-02 18:30:16,18.224,{},15.5,{}
1564794014469,2019-08-02 19:00:14,18.083,{},15.365,{}
1564795814176,2019-08-02 19:30:14,17.998,{},15.333,{}
1564797612644,2019-08-02 20:00:12,17.926000000000002,{},15.18,{}
1564799413510,2019-08-02 20:30:13,17.775,{},15.057,{}
1564801214693,2019-08-02 21:00:14,17.674,{},15.043000000000001,{}
1564803014120,2019-08-02 21:30:14,17.636,{},14.892,{}
1564804814760,2019-08-02 22:00:14,17.495,{},14.823,{}
1564806613544,2019-08-02 22:30:13,17.36,{},14.749,{}
1564808414586,2019-08-02 23:00:14,17.293,{},14.763000000000002,{}
1564810213689,2019-08-02 23:30:13,17.225,{},14.680000000000001,{}
1564812014511,2019-08-03 00:00:14,17.205000000000002,{},14.575,{}
1564813814982,2019-08-03 00:30:14,17.122,{},14.503,{}
1564815614196,2019-08-03 01:00:14,17.021,{},14.551,{}
1564817415488,2019-08-03 01:30:15,17.076,{},14.467000000000002,{}
1564819215395,2019-08-03 02:00:15,16.945,{},14.471,{}
1564821015079,2019-08-03 02:30:15,16.908,{},14.435999999999998,{}
1564822815124,2019-08-03 03:00:15,16.980999999999998,{},14.41,{}
1564824615503,2019-08-03 03:30:15,16.812,{},14.309000000000003,{}
1564826415478,2019-08-03 04:00:15,16.792,{},14.313,{}
1564828213661,2019-08-03 04:30:13,16.739,{},14.210999999999999,{}
1564830015755,2019-08-03 05:00:15,16.709000000000003,{},14.210999999999999,{}
1564831813746,2019-08-03 05:30:13,16.667,{},14.166,{}
1564833613188,2019-08-03 06:00:13,16.624000000000002,{},14.152000000000001,{}
1564835415731,2019-08-03 06:30:15,16.576,{},14.106,{}
1564837212511,2019-08-03 07:00:12,16.588,{},14.194999999999999,{}
1564839016176,2019-08-03 07:30:16,16.536,{},14.136,{}
1564840813310,2019-08-03 08:00:13,16.524,{},14.127999999999998,{}
1564842616024,2019-08-03 08:30:16,16.509,{},14.094000000000001,{}
1564844414397,2019-08-03 09:00:14,16.451,{},14.154,{}
1564846213298,2019-08-03 09:30:13,16.659000000000002,{},14.168,{}
1564848016361,2019-08-03 10:00:16,16.991,{},14.17,{}
1564849814307,2019-08-03 10:30:14,17.287,{},14.547000000000002,{}
1564851615206,2019-08-03 11:00:15,17.483,{},14.71,{}
1564853412509,2019-08-03 11:30:12,17.583000000000002,{},14.837,{}
1564855215870,2019-08-03 12:00:15,17.740000000000002,{},14.927999999999999,{}
1564857013670,2019-08-03 12:30:13,17.790999999999997,{},15.023,{}
1564858812974,2019-08-03 13:00:12,17.782999999999998,{},15.082999999999998,{}
1564860614860,2019-08-03 13:30:14,17.794999999999998,{},15.113,{}
1564862413124,2019-08-03 14:00:13,17.801000000000002,{},15.081,{}
1564864216473,2019-08-03 14:30:16,17.736,{},15.129000000000001,{}
1564866014579,2019-08-03 15:00:14,17.732,{},15.029,{}
1564867816548,2019-08-03 15:30:16,16.159000000000002,{},15.037,{}
1564869615283,2019-08-03 16:00:15,16.032000000000004,{},14.853,{}
1564871415033,2019-08-03 16:30:15,15.814,{},14.755,{}
1564873226171,2019-08-03 17:00:26,15.625,{},14.62,{}
1564875015557,2019-08-03 17:30:15,15.343000000000002,{},14.435999999999998,{}
1564882214402,2019-08-03 19:30:14,14.485000000000001,{},13.79,{}
1564884015514,2019-08-03 20:00:15,14.42,{},13.651,{}
1564885816162,2019-08-03 20:30:16,14.307,{},13.622,{}
1564887615502,2019-08-03 21:00:15,14.190999999999999,{},13.477,{}
1564889412520,2019-08-03 21:30:12,14.104,{},13.449,{}
1564891214872,2019-08-03 22:00:14,14.007,{},13.385,{}
1564893014486,2019-08-03 22:30:14,13.967000000000002,{},13.211,{}
1564894815855,2019-08-03 23:00:15,13.86,{},13.228000000000002,{}
1564896613096,2019-08-03 23:30:13,13.816,{},13.135,{}
1564898415846,2019-08-04 00:00:15,13.747000000000002,{},13.111,{}
1564900212720,2019-08-04 00:30:12,13.671,{},13.014000000000001,{}
1564902015092,2019-08-04 01:00:15,13.665,{},12.997999999999998,{}
1564903815422,2019-08-04 01:30:15,13.600000000000001,{},12.97,{}
1564905614249,2019-08-04 02:00:14,13.552,{},12.887,{}
1564907414943,2019-08-04 02:30:14,13.505999999999998,{},12.875,{}
1564909214026,2019-08-04 03:00:14,13.489,{},12.829,{}
1564911015022,2019-08-04 03:30:15,13.379000000000001,{},12.812999999999999,{}
1564912814392,2019-08-04 04:00:14,13.320000000000002,{},12.762,{}
1564914612953,2019-08-04 04:30:12,13.297999999999998,{},12.686,{}
1564916415779,2019-08-04 05:00:15,13.26,{},12.738,{}
1564918213262,2019-08-04 05:30:13,13.274000000000003,{},12.619000000000003,{}
1564920015629,2019-08-04 06:00:15,13.119,{},12.684000000000001,{}
1564921813923,2019-08-04 06:30:13,13.111,{},12.674000000000001,{}
1564923613817,2019-08-04 07:00:13,13.117,{},12.619000000000003,{}
1564925413364,2019-08-04 07:30:13,13.126999999999999,{},12.609,{}
1564927215203,2019-08-04 08:00:15,13.087000000000002,{},12.442,{}
1564929015915,2019-08-04 08:30:15,13.157000000000002,{},12.509999999999998,{}
1564930815278,2019-08-04 09:00:15,13.203000000000001,{},12.494000000000002,{}
1564932614137,2019-08-04 09:30:14,13.278,{},12.575,{}
1564934414969,2019-08-04 10:00:14,13.467,{},12.583,{}
1564936214670,2019-08-04 10:30:14,13.745000000000001,{},12.921,{}
1564938015029,2019-08-04 11:00:15,13.804000000000002,{},12.796,{}
1564939814641,2019-08-04 11:30:14,13.944999999999999,{},13.001999999999999,{}
1564941614545,2019-08-04 12:00:14,14.207,{},13.238,{}
1564943412712,2019-08-04 12:30:12,14.177999999999999,{},13.203000000000001,{}
1564945214030,2019-08-04 13:00:14,14.132,{},13.135,{}
1564947014807,2019-08-04 13:30:14,14.290999999999999,{},13.278,{}
1564948814015,2019-08-04 14:00:14,14.240999999999998,{},13.172999999999998,{}
1564952415443,2019-08-04 15:00:15,13.850000000000001,{},12.907000000000002,{}
1564954215166,2019-08-04 15:30:15,13.667000000000002,{},12.807000000000002,{}
1564956013308,2019-08-04 16:00:13,13.657,{},12.829,{}
1564957814778,2019-08-04 16:30:14,13.751,{},12.850999999999999,{}
1564959616080,2019-08-04 17:00:16,13.794,{},12.875,{}
1564961413880,2019-08-04 17:30:13,13.672999999999998,{},12.709999999999999,{}
1564963214007,2019-08-04 18:00:14,13.505999999999998,{},12.665000000000001,{}
1564965013575,2019-08-04 18:30:13,13.447000000000001,{},12.569000000000003,{}
1564966814141,2019-08-04 19:00:14,13.3,{},12.475999999999999,{}
1564968614011,2019-08-04 19:30:14,13.242,{},12.383,{}
1564970412867,2019-08-04 20:00:12,13.169,{},12.317,{}
1564972214919,2019-08-04 20:30:14,13.040000000000001,{},12.182,{}
1564974013073,2019-08-04 21:00:13,12.958,{},12.171999999999999,{}
1564975815300,2019-08-04 21:30:15,12.883,{},12.012999999999998,{}
1564977614373,2019-08-04 22:00:14,12.786,{},12.012999999999998,{}
1564979414514,2019-08-04 22:30:14,12.745999999999999,{},11.968,{}
1564981212691,2019-08-04 23:00:12,12.690000000000001,{},11.882000000000001,{}
1564983014687,2019-08-04 23:30:14,12.650999999999998,{},11.823,{}
1564984814161,2019-08-05 00:00:14,12.581000000000001,{},11.87,{}
1564986614791,2019-08-05 00:30:14,12.583,{},11.852000000000002,{}
1564988415139,2019-08-05 01:00:15,12.569000000000003,{},11.751000000000001,{}
1564990214048,2019-08-05 01:30:14,12.508,{},11.7,{}
1564992014585,2019-08-05 02:00:14,12.502000000000002,{},11.719000000000001,{}
1564995616230,2019-08-05 03:00:16,12.404000000000002,{},11.547000000000002,{}
1564997414390,2019-08-05 03:30:14,12.323,{},11.584,{}
1564999214054,2019-08-05 04:00:14,12.385000000000002,{},11.555000000000001,{}
